PermitClass,PermitTypeDesc,HousingUnits,HousingUnitsRemoved,HousingUnitsAdded,EstProjectCost,StatusCurrent,OriginalAddress1,OriginalCity,OriginalZip
Single Family/Duplex,Addition/Alteration,,,,"100,000",Reviews In Process,8636 45TH AVE NE,SEATTLE,98115
Commercial,Addition/Alteration,,,,"3,000,000",Reviews In Process,1000 6TH AVE S,SEATTLE,98134
Multifamily,New,,,,"1,856,255",Reviews In Process,3959 FREMONT AVE N,SEATTLE,98103
Multifamily,New,,,,"12,161,522",Reviews In Process,216 10TH AVE,SEATTLE,98122
Single Family/Duplex,Demolition,,,,0,Reviews In Process,330 39TH AVE E,SEATTLE,98112
Single Family/Duplex,New,,,,"410,595",Reviews In Process,4576 22ND AVE SW,SEATTLE,98106
Single Family/Duplex,New,,,,"467,165",Reviews In Process,5232 23RD AVE SW,SEATTLE,98106
Single Family/Duplex,,,,,"600,000",Issued,4703 lake Washington BLVD S,,
Multifamily,New,,,,"714,660",Reviews In Process,4753 45TH AVE SW,SEATTLE,98116
Single Family/Duplex,New,,,,"410,595",Reviews In Process,4570 22ND AVE SW,SEATTLE,98106
Single Family/Duplex,New,,,,"819,656",Reviews In Process,5244 23rd AVE SW,SEATTLE,
Single Family/Duplex,New,,,,"410,595",Reviews In Process,4566 22ND AVE SW,SEATTLE,98106
Single Family/Duplex,Addition/Alteration,1,0,0,"92,000",Issued,4844 38TH AVE NE,SEATTLE,98105
Single Family/Duplex,New,0,0,1,"587,604",Reviews In Process,326 NE 91ST ST,SEATTLE,98115
Multifamily,,1,1,3,"550,000",Issued,9413 ROOSEVELT WAY NE,SEATTLE,98115
Commercial,New,0,0,80,"8,311,340",Reviews In Process,1216 N 42ND ST,SEATTLE,98103
Institutional,Addition/Alteration,,,,"600,000",Reviews In Process,,,
Multifamily,New,,,,"9,472,004",Reviews In Process,9420 RAINIER AVE S,SEATTLE,98118
Single Family/Duplex,Demolition,0,2,35,"5,000,000",Awaiting Information,2031 EASTLAKE AVE E,SEATTLE,98102
Single Family/Duplex,Addition/Alteration,1,0,1,"100,000",Reviews In Process,9740 DAYTON AVE N,SEATTLE,98103
Commercial,New,,,,"132,341,244",Reviews In Process,1000 6TH AVE S,SEATTLE,98134
Single Family/Duplex,Addition/Alteration,,,,"119,000",Application Completed,120 Lake Washington BLVD E,,
Multifamily,Demolition,1,1,8,"3,500,000",Awaiting Information,1634 S KING ST,SEATTLE,98144
Multifamily,Demolition,3,3,57,"5,602,031",Corrections Required,7903 GREENWOOD AVE N,SEATTLE,98103
Commercial,Addition/Alteration,0,0,0,"1,398,800",Reviews In Process,324 LAKE WASHINGTON BLVD,SEATTLE,98122
Multifamily,New,0,0,30,"3,080,861",Reviews In Process,2518 E CHERRY ST,SEATTLE,98122
Single Family/Duplex,,2,1,2,"1,000,000",Issued,7717 38TH AVE NE,SEATTLE,98115
Commercial,New,,,,"93,433,373",Reviews In Process,1120 JOHN ST,SEATTLE,98109
Multifamily,Demolition,,,,"25,000,000",Corrections Required,943 NW MARKET ST,SEATTLE,98107
Single Family/Duplex,Demolition,,,,"420,000",Issued,4314 BAGLEY AVE N,SEATTLE,98103
Multifamily,Addition/Alteration,285,0,0,"15,000,000",Reviews In Process,800 JEFFERSON ST,SEATTLE,98104
Commercial,Addition/Alteration,,,,"2,281,180",Reviews In Process,4500 LAKE WASHINGTON BLVD S,SEATTLE,98118
Multifamily,New,,,,"2,072,528",Reviews In Process,5416 RAINIER AVE S,SEATTLE,98118
Single Family/Duplex,Addition/Alteration,0,0,1,"194,498",Reviews In Process,4401 WILLIAMS AVE W,SEATTLE,98199
Multifamily,New,,,,"21,504,119",Application Completed,3111 RAINIER AVE S,SEATTLE,98144
Single Family/Duplex,New,,,,"600,000",Corrections Required,11086 ARROYO BEACH PL SW,SEATTLE,98146
Multifamily,New,,,,"84,378,759",Reviews In Process,2301 7th AVE,,
Commercial,New,,,,"351,038",Reviews In Process,745 FEDERAL AVE E,SEATTLE,98102
Single Family/Duplex,Addition/Alteration,1,0,0,"90,000",Reviews In Process,5301 SW SHORE PL,SEATTLE,98136
Single Family/Duplex,,1,1,0,"600,000",Application Completed,11086 ARROYO BEACH PL SW,SEATTLE,98146
Multifamily,New,,,,"15,851,217",Reviews In Process,1422 SENECA ST,SEATTLE,98101
Multifamily,New,12,12,150,"12,554,776",Reviews In Process,123 BELLEVUE AVE E,SEATTLE,98102
Multifamily,New,1,1,9,"780,123",Reviews In Process,7035 DELRIDGE WAY SW,SEATTLE,98106
Multifamily,New,,,,"3,556,151",Reviews In Process,1900 23RD AVE S,SEATTLE,98144
Multifamily,Demolition,1,1,20,"1,335,823",Reviews In Process,1010 E SPRUCE ST,SEATTLE,98122
Multifamily,Addition/Alteration,0,0,0,"100,000",Awaiting Information,1615 SW HENDERSON ST,SEATTLE,98106
Multifamily,New,2,2,14,"1,782,994",Application Completed,8415 DELRIDGE WAY SW,,
Multifamily,New,,,,"12,449,299",Application Completed,14001 LAKE CITY WAY NE,SEATTLE,98125
Multifamily,New,0,0,100,"10,591,515",Reviews In Process,3101 EASTLAKE AVE E,SEATTLE,98102
Multifamily,New,0,0,290,"40,000,000",Reviews In Process,11201 Roosevelt WAY NE,,
Single Family/Duplex,Demolition,,,,1,Issued,1525 26TH AVE,SEATTLE,98122
Vacant Land,Addition/Alteration,,,,500,Reviews In Process,1737 PERKINS LN W,SEATTLE,98199
Single Family/Duplex,Demolition,1,1,0,"5,000",Issued,4110 1ST AVE NW,SEATTLE,98107
Multifamily,New,,,,"21,916,668",Reviews In Process,12706 33RD AVE NE,SEATTLE,98125
Commercial,Addition/Alteration,,,,"240,000",Reviews In Process,925 ALASKAN WAY,SEATTLE,98104
Single Family/Duplex,Demolition,1,1,1,0,Issued,3228 NE 89TH ST,SEATTLE,98115
Single Family/Duplex,New,,,,"264,917",Reviews In Process,4626 S ORCHARD ST,SEATTLE,98118
Single Family/Duplex,Addition/Alteration,,,,"26,995",Reviews In Process,10212 64th AVE S,,
Multifamily,New,,,,"17,460,000",Reviews In Process,118 W MERCER ST,SEATTLE,98119
Multifamily,New,2,2,44,"4,180,568",Reviews In Process,1820 E JOHN ST,SEATTLE,98112
Multifamily,New,1,1,6,"600,000",Reviews In Process,5400 9TH AVE NW,SEATTLE,98107
Multifamily,New,,,,"2,313,645",Reviews In Process,12328 33RD AVE NE,SEATTLE,98125
Single Family/Duplex,Addition/Alteration,,,,"350,000",Reviews In Process,6355 BEACH DR SW,SEATTLE,98136
Single Family/Duplex,,1,1,0,"950,000",Reviews In Process,8431 22ND AVE SW,SEATTLE,98106
Single Family/Duplex,Demolition,1,1,1,"571,580",Corrections Required,7015 37TH AVE NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,1,0,0,"35,000",Corrections Required,2851 43RD AVE W,SEATTLE,98199
Single Family/Duplex,Addition/Alteration,1,0,0,"10,000",Issued,5744 NE 61ST ST,SEATTLE,98115
Multifamily,Demolition,,,,"5,000,000",Reviews In Process,7012 ROOSEVELT WAY NE,SEATTLE,98115
Industrial,Addition/Alteration,1,0,0,"20,000",Corrections Required,7905 DETROIT AVE SW,SEATTLE,98106
Single Family/Duplex,New,,,,"1,085,834",Reviews In Process,6226 LAKE SHORE DR S,SEATTLE,98118
Commercial,New,,,,"60,235,405",Reviews In Process,4328 BROOKLYN AVE NE,SEATTLE,98105
Single Family/Duplex,Demolition,1,1,1,"560,180",Issued,7524 33RD AVE NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,1,0,1,"50,000",Reviews In Process,1101 20TH AVE S,SEATTLE,98144
Commercial,New,0,0,280,"3,008,104",Reviews In Process,2100 QUEEN ANNE AVE N,SEATTLE,98109
Single Family/Duplex,Demolition,1,1,1,"900,000",Issued,3922 WOODLAND PARK AVE N,SEATTLE,98103
Commercial,Addition/Alteration,0,0,0,"15,000",Issued,5600 14TH AVE NW,SEATTLE,98107
Commercial,Addition/Alteration,,,,"100,000",Reviews In Process,744 N 34TH ST,SEATTLE,98103
Single Family/Duplex,New,1,0,0,"552,332",Reviews In Process,1613 5TH AVE W,SEATTLE,98119
Commercial,Addition/Alteration,,,,"5,000,000",Reviews In Process,401 Queen Anne AVE N,,
Multifamily,New,,,,"4,531,529",Reviews In Process,325 NW 85TH ST,,
Single Family/Duplex,Demolition,,,,"25,000",Corrections Required,4815 STANFORD AVE NE,SEATTLE,98105
Multifamily,New,,,,"2,647,887",Reviews In Process,1724 13TH AVE,SEATTLE,
Single Family/Duplex,Addition/Alteration,,,,"77,380",Reviews In Process,1116 E HAMLIN ST,SEATTLE,98102
Multifamily,New,,,,"771,899",Reviews In Process,903 NW 56TH ST,SEATTLE,98107
Commercial,New,1,1,0,"45,101,620",Reviews In Process,300 NE NORTHLAKE WAY,SEATTLE,98105
Single Family/Duplex,Addition/Alteration,,,,"90,000",Reviews In Process,1241 20TH AVE E,SEATTLE,98112
Multifamily,New,,,,"2,833,663",Reviews In Process,4515 44TH AVE SW,SEATTLE,98116
Single Family/Duplex,Addition/Alteration,1,0,0,"80,000",Reviews In Process,1409 33RD AVE S,SEATTLE,98144
Commercial,New,,,,"10,803,601",Reviews In Process,4529 SAND POINT WAY NE,SEATTLE,98105
Institutional,Addition/Alteration,,,,"100,000",Reviews In Process,3801 DISCOVERY PARK BLVD,SEATTLE,98199
Multifamily,New,0,0,104,"7,254,572",Reviews In Process,4009 STONE WAY N,SEATTLE,98103
Multifamily,New,0,0,170,"22,102,747",Reviews In Process,7544 M L KING JR WAY S,,
Single Family/Duplex,Addition/Alteration,1,0,0,"100,000",Reviews In Process,2418 S Ferdinand ST,,
Single Family/Duplex,Addition/Alteration,,,,"136,829",Corrections Required,2128 NE PARK RD,SEATTLE,98105
Multifamily,New,,,,"21,497,146",Reviews In Process,1145 NW Market ST,,
Institutional,New,,,,"987,020",Reviews In Process,1550 N 115th ST,,
Single Family/Duplex,New,,,,"432,125",Reviews In Process,1817 S LANE ST,SEATTLE,98144
Single Family/Duplex,Demolition,,,,"1,200,000",Ready for Issuance,4626 S ORCHARD ST,SEATTLE,98118
Single Family/Duplex,New,,,,"329,485",Issued,2350 17TH AVE S,SEATTLE,98144
Single Family/Duplex,Demolition,,,,"600,000",Reviews In Process,6519 49TH AVE SW,SEATTLE,98136
Single Family/Duplex,New,1,1,2,"471,507",Reviews In Process,3014 E HOWELL ST,SEATTLE,98122
Commercial,Demolition,0,0,54,"5,200,000",Issued,7757 15TH AVE NW,SEATTLE,98117
Commercial,Demolition,0,0,208,"42,000,000",Corrections Required,916 N 143RD ST,SEATTLE,98133
Commercial,Demolition,0,0,104,"11,000,000",Corrections Required,4009 STONE WAY N,SEATTLE,
Single Family/Duplex,New,1,0,1,"274,166",Reviews In Process,3113 16TH AVE S,SEATTLE,98144
Single Family/Duplex,New,,,,"303,892",Reviews In Process,3921 CHEASTY BLVD S,SEATTLE,98108
Single Family/Duplex,Addition/Alteration,,,,"82,735",Reviews In Process,2223 NW 60TH ST,SEATTLE,98107
Multifamily,New,,,,"1,884,160",Reviews In Process,1614 S Dearborn ST,,
Vacant Land,New,,,,0,Reviews In Process,13001 5TH AVE NE,SEATTLE,98125
Single Family/Duplex,New,,,,"295,387",Reviews In Process,2224 NE 125TH ST,SEATTLE,98125
Multifamily,New,1,1,33,"2,487,619",Reviews In Process,849 NW MARKET ST,SEATTLE,98107
Single Family/Duplex,New,,,,"311,559",Reviews In Process,8825 10TH AVE S,SEATTLE,98108
Commercial,Addition/Alteration,,,,"250,000",Reviews In Process,5209 SHILSHOLE AVE NW,SEATTLE,98107
Single Family/Duplex,Demolition,,,,"600,000",Issued,3027 13TH AVE W,SEATTLE,98119
Commercial,Addition/Alteration,,,,"100,000",Reviews In Process,1117 12TH AVE,SEATTLE,98122
Commercial,Demolition,,,,0,Reviews In Process,1300 NE 45th ST,,
Single Family/Duplex,New,,,,"691,131",Reviews In Process,9245 20TH AVE SW,SEATTLE,98106
Multifamily,Addition/Alteration,,,,"450,000",Reviews In Process,1710 12TH AVE,SEATTLE,98122
Single Family/Duplex,New,1,0,0,"282,447",Application Completed,2481 PERKINS LN W,SEATTLE,98199
Multifamily,New,0,0,128,"17,907,760",Reviews In Process,12337 30TH AVE NE,SEATTLE,98125
